pk_geo;pk_client;line;track;category;direction;rail_typology_code;armament;fastening;rail_typology;Vcir;technical_location;inter_station;X;Y;created_by;data_version;huso
788900000;7889;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.2016;4381074.993;jgomez;0;30
788925000;7889.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.303;4381074.765;jgomez;0;30
788950000;7889.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.4045;4381074.536;jgomez;0;30
788975000;7889.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.5059;4381074.308;jgomez;0;30
789000000;7890;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.6074;4381074.079;jgomez;0;30
789025000;7890.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.7088;4381073.851;jgomez;0;30
789050000;7890.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.8103;4381073.623;jgomez;0;30
789075000;7890.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.9117;4381073.394;jgomez;0;30
789100000;7891;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724276.0132;4381073.166;jgomez;0;30
789125000;7891.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724276.1146;4381072.937;jgomez;0;30
789150000;7891.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724276.216;4381072.709;jgomez;0;30
789175000;7891.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.3175;4381072.48;jgomez;0;30
789200000;7892;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.4189;4381072.252;jgomez;0;30
789225000;7892.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.5204;4381072.023;jgomez;0;30
789250000;7892.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.6218;4381071.795;jgomez;0;30
789275000;7892.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.7233;4381071.566;jgomez;0;30
789300000;7893;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.8247;4381071.338;jgomez;0;30
789325000;7893.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724276.9261;4381071.109;jgomez;0;30
789350000;7893.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.0276;4381070.881;jgomez;0;30
789375000;7893.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.129;4381070.652;jgomez;0;30
789400000;7894;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.2305;4381070.424;jgomez;0;30
789425000;7894.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.3319;4381070.195;jgomez;0;30
789450000;7894.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.4334;4381069.967;jgomez;0;30
789475000;7894.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.5348;4381069.738;jgomez;0;30
789500000;7895;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.6363;4381069.51;jgomez;0;30
789525000;7895.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.7377;4381069.281;jgomez;0;30
789550000;7895.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.8391;4381069.053;jgomez;0;30
789575000;7895.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724277.9406;4381068.824;jgomez;0;30
789600000;7896;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.042;4381068.596;jgomez;0;30
789625000;7896.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.1435;4381068.367;jgomez;0;30
789650000;7896.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.2449;4381068.139;jgomez;0;30
789675000;7896.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.3464;4381067.91;jgomez;0;30
789700000;7897;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.4478;4381067.682;jgomez;0;30
789725000;7897.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.5492;4381067.453;jgomez;0;30
789750000;7897.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.6507;4381067.225;jgomez;0;30
789775000;7897.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.7521;4381066.996;jgomez;0;30
789800000;7898;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.8536;4381066.768;jgomez;0;30
789825000;7898.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724278.955;4381066.539;jgomez;0;30
789850000;7898.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.0565;4381066.311;jgomez;0;30
789875000;7898.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.1579;4381066.082;jgomez;0;30
789900000;7899;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.2593;4381065.854;jgomez;0;30
789925000;7899.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.3608;4381065.625;jgomez;0;30
789950000;7899.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.4622;4381065.397;jgomez;0;30
789975000;7899.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.5637;4381065.168;jgomez;0;30
790000000;7900;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.6651;4381064.94;jgomez;0;30
790025000;7900.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.7666;4381064.711;jgomez;0;30
790050000;7900.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.868;4381064.483;jgomez;0;30
790075000;7900.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724279.9695;4381064.254;jgomez;0;30
790100000;7901;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724280.0709;4381064.026;jgomez;0;30
790125000;7901.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724280.1723;4381063.797;jgomez;0;30
790150000;7901.5;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724280.2738;4381063.569;jgomez;0;30
790175000;7901.75;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724280.3752;4381063.34;jgomez;0;30
790200000;7902;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724280.4767;4381063.112;jgomez;0;30
790225000;7902.25;1;2;Circulacion;D;ES;Monoblock;Stedef;Balasto;40;F-1-E-SE;F-1-E-SE;724280.5781;4381062.883;jgomez;0;30
